number,Title,Year,genre,runtime,Ranking,voteing
89.,Ouija,II 2014,"Horror, Mystery, Thriller            ",89 min,4.5,"
Votes:
52,323
| Gross:
$50.86M

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323

52,323
"
90.,Home Alone 3,1997,"Action, Comedy, Crime            ",102 min,4.5,"
Votes:
115,423
| Gross:
$30.88M

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423

115,423
"
91.,In the Name of the King: A Dungeon Siege Tale,2007,"Action, Adventure, Fantasy            ",127 min,3.8,"
Votes:
48,912
| Gross:
$4.54M

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912

48,912
"
92.,Captain America,1990,"Action, Adventure, Sci-Fi            ",97 min,3.2,"
Votes:
13,955
| Gross:
$0.01M

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955

13,955
"
93.,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy            ",96 min,3.7,"
Votes:
23,928
| Gross:
$8.74M

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928

23,928
"
94.,Siberia,2018,"Crime, Romance, Thriller            ",104 min,4.3,"
Votes:
15,270
"
95.,I Know Who Killed Me,2007,"Horror, Mystery, Thriller            ",105 min,3.6,"
Votes:
29,611
| Gross:
$7.50M

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611

29,611
"
96.,Taxi,I 2004,"Action, Comedy, Crime            ",97 min,4.5,"
Votes:
42,215
| Gross:
$36.61M

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215

42,215
"
97.,Inspector Gadget,1999,"Action, Adventure, Comedy            ",78 min,4.1,"
Votes:
48,053
| Gross:
$97.40M

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053

48,053
"
98.,The Hungover Games,2014,"Adventure, Comedy, Fantasy            ",85 min,3.5,"
Votes:
15,403
"
99.,Gigli,2003,"Comedy, Crime, Romance            ",121 min,2.6,"
Votes:
48,817
| Gross:
$6.07M

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817

48,817
"
100.,The Last Thing He Wanted,2020,"Crime, Drama, Thriller            ",115 min,4.3,"
Votes:
15,125
"
101.,Beverly Hills Chihuahua,2008,"Adventure, Comedy, Drama            ",91 min,3.9,"
Votes:
24,227
| Gross:
$94.51M

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227

24,227
"
102.,Mac and Me,1988,"Adventure, Comedy, Family            ",99 min,3.3,"
Votes:
14,718
| Gross:
$6.42M

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718

14,718
"
103.,Ultraviolet,2006,"Action, Sci-Fi            ",88 min,4.3,"
Votes:
81,723
| Gross:
$18.50M

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723

81,723
"
104.,The Starving Games,2013,"Comedy, Sci-Fi            ",83 min,3.2,"
Votes:
20,542
"
105.,Mortal Kombat: Annihilation,1997,"Action, Adventure, Fantasy            ",95 min,3.6,"
Votes:
54,338
| Gross:
$35.93M

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338

54,338
"
106.,Escape Room,II 2017,"Horror, Thriller            ",81 min,4.2,"
Votes:
12,321
"
107.,The Legend of Hercules,2014,"Action, Adventure, Fantasy            ",99 min,4.2,"
Votes:
54,441
| Gross:
$18.85M

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441

54,441
"
108.,Cell,I 2016,"Action, Adventure, Horror            ",98 min,4.4,"
Votes:
27,866
"
109.,Home Sweet Home Alone,2021,"Comedy, Crime, Family            ",93 min,3.6,"
Votes:
16,197
"
110.,The Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance            ",90 min,3.7,"
Votes:
23,533
| Gross:
$35.27M

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533

23,533
"
111.,The Turning,2020,"Drama, Horror, Mystery            ",94 min,3.9,"
Votes:
13,311
"
112.,Fifty Shades of Black,2016,Comedy            ,92 min,3.5,"
Votes:
21,422
| Gross:
$11.69M

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422

21,422
"
113.,The Fog,2005,"Horror, Mystery            ",100 min,3.7,"
Votes:
36,918
| Gross:
$29.51M

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918

36,918
"
114.,The Avengers,1998,"Action, Adventure, Sci-Fi            ",89 min,3.8,"
Votes:
43,699
| Gross:
$23.32M

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699

43,699
"
115.,BloodRayne,2005,"Action, Fantasy, Horror            ",95 min,2.9,"
Votes:
35,538
| Gross:
$2.41M

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538

35,538
"
116.,Kangaroo Jack,2003,"Action, Adventure, Comedy            ",89 min,4.4,"
Votes:
31,543
| Gross:
$66.93M

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543

31,543
"
117.,Halloween: Resurrection,2002,"Horror, Thriller            ",94 min,3.9,"
Votes:
43,047
| Gross:
$30.35M

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047

43,047
"
118.,Swept Away,2002,"Comedy, Romance            ",89 min,3.6,"
Votes:
16,812
| Gross:
$0.01M

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812

16,812
"
119.,Wounds,2019,"Drama, Horror, Mystery            ",95 min,4.1,"
Votes:
18,877
"
120.,Escape Plan: The Extractors,2019,"Action, Crime, Thriller            ",97 min,4.4,"
Votes:
14,235
"
121.,3 Ninjas: High Noon at Mega Mountain,1998,"Action, Adventure, Comedy            ",93 min,2.9,"
Votes:
12,780
| Gross:
$0.38M

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780

12,780
"
122.,House of the Dead,2003,"Action, Adventure, Horror            ",90 min,2.1,"
Votes:
37,227
| Gross:
$10.25M

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227

37,227
"
123.,Skyline,2010,"Action, Sci-Fi, Thriller            ",92 min,4.5,"
Votes:
89,651
| Gross:
$21.37M

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651

89,651
"
124.,Rings,2017,"Drama, Horror, Mystery            ",102 min,4.5,"
Votes:
40,340
| Gross:
$27.79M

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340

40,340
"
125.,Spy Kids 4: All the Time in the World,2011,"Action, Adventure, Comedy            ",89 min,3.5,"
Votes:
25,227
| Gross:
$38.54M

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227

25,227
"
126.,Alvin and the Chipmunks: Chipwrecked,2011,"Animation, Adventure, Comedy            ",87 min,4.3,"
Votes:
34,978
| Gross:
$133.11M

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978

34,978
"
127.,Escape Plan 2: Hades,2018,"Action, Crime, Mystery            ",96 min,3.8,"
Votes:
31,491
"
128.,Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy            ,85 min,3.4,"
Votes:
39,636
| Gross:
$26.28M

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636

39,636
"
129.,Torque,2004,"Action, Comedy, Crime            ",84 min,4.1,"
Votes:
28,230
| Gross:
$21.22M

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230

28,230
"
130.,Postal,2007,"Action, Comedy, Crime            ",100 min,4.4,"
Votes:
23,128
| Gross:
$18.01M

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128

23,128
"
131.,Troll 2,1990,"Comedy, Fantasy, Horror            ",95 min,2.9,"
Votes:
32,626
"
132.,Plan 9 from Outer Space,1957,"Horror, Sci-Fi            ",79 min,3.9,"
Votes:
38,304
"
133.,Baby Geniuses,1999,"Comedy, Crime, Family            ",97 min,2.5,"
Votes:
26,469
| Gross:
$27.14M

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469

26,469
"
134.,Zombie Strippers!,2008,"Comedy, Horror, Sci-Fi            ",94 min,4.1,"
Votes:
18,341
"
135.,The Last Days of American Crime,2020,"Action, Crime, Drama            ",148 min,3.7,"
Votes:
11,388
"
136.,The Hottie & the Nottie,2008,"Comedy, Romance            ",91 min,1.9,"
Votes:
38,220
| Gross:
$0.03M

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220

38,220
"
137.,Teen Wolf Too,1987,"Comedy, Fantasy            ",95 min,3.3,"
Votes:
12,707
| Gross:
$7.89M

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707

12,707
"
138.,The Next Karate Kid,1994,"Action, Drama, Family            ",107 min,4.5,"
Votes:
30,216
| Gross:
$8.91M

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216

30,216
"
139.,The Bye Bye Man,2017,"Drama, Fantasy, Horror            ",96 min,4.3,"
Votes:
23,813
| Gross:
$22.38M

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813

23,813
"
140.,From Justin to Kelly,2003,"Comedy, Musical, Romance            ",81 min,1.9,"
Votes:
26,431
| Gross:
$4.92M

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431

26,431
"
141.,Going Overboard,1989,Comedy            ,99 min,1.8,"
Votes:
13,545
"
142.,Date Movie,2006,"Comedy, Romance            ",83 min,2.8,"
Votes:
59,441
| Gross:
$48.55M

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441

59,441
"
143.,xXx: State of the Union,2005,"Action, Adventure, Crime            ",101 min,4.4,"
Votes:
70,330
| Gross:
$26.87M

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330

70,330
"
144.,Extreme Movie,2008,Comedy            ,86 min,3.7,"
Votes:
11,140
"
145.,Bratz,2007,"Comedy, Family, Music            ",110 min,3.0,"
Votes:
23,662
| Gross:
$10.01M

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662

23,662
"
146.,Caddyshack II,1988,"Comedy, Sport            ",98 min,3.7,"
Votes:
15,675
| Gross:
$11.80M

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675

15,675
"
147.,Paranormal Activity 4,2012,"Horror, Mystery            ",88 min,4.6,"
Votes:
65,920
| Gross:
$53.92M

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920

65,920
"
148.,Exorcist II: The Heretic,1977,Horror            ,117 min,3.8,"
Votes:
24,528
| Gross:
$30.75M

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528

24,528
"
149.,Dungeons & Dragons,2000,"Action, Adventure, Fantasy            ",107 min,3.6,"
Votes:
33,340
| Gross:
$15.22M

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340

33,340
"
150.,Rollerball,2002,"Action, Sci-Fi, Sport            ",98 min,3.1,"
Votes:
28,192
| Gross:
$18.99M

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192

28,192
"
151.,Book of Shadows: Blair Witch 2,2000,"Adventure, Fantasy, Horror            ",90 min,4.0,"
Votes:
37,792
| Gross:
$26.44M

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792

37,792
"
152.,The Open House,2018,"Horror, Thriller            ",94 min,3.3,"
Votes:
34,108
"
153.,God's Not Dead,2014,Drama            ,113 min,4.6,"
Votes:
42,625
| Gross:
$60.76M

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625

42,625
"
154.,Black Christmas,2019,"Horror, Mystery, Thriller            ",92 min,3.4,"
Votes:
16,162
"
155.,Paul Blart: Mall Cop 2,2015,"Action, Comedy, Crime            ",94 min,4.4,"
Votes:
37,295
| Gross:
$71.04M

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295

37,295
"
156.,Kazaam,1996,"Comedy, Family, Fantasy            ",93 min,3.0,"
Votes:
24,353
| Gross:
$18.88M

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353

24,353
"
157.,Stop! Or My Mom Will Shoot,1992,"Action, Comedy            ",87 min,4.3,"
Votes:
42,105
| Gross:
$28.41M

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105

42,105
"
158.,The NeverEnding Story III,1994,"Adventure, Comedy, Family            ",95 min,3.1,"
Votes:
12,586
"
159.,Prom Night,I 2008,Horror            ,88 min,3.9,"
Votes:
35,850
| Gross:
$43.87M

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850

35,850
"
160.,Furry Vengeance,2010,"Comedy, Family            ",92 min,3.8,"
Votes:
16,987
| Gross:
$17.60M

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987

16,987
"
161.,Hercules in New York,1970,"Adventure, Comedy, Fantasy            ",92 min,3.3,"
Votes:
18,279
"
162.,Vampires Suck,2010,"Comedy, Horror            ",82 min,3.4,"
Votes:
48,718
| Gross:
$36.66M

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718

48,718
"
163.,Alone in the Dark,2005,"Action, Horror, Sci-Fi            ",96 min,2.4,"
Votes:
45,498
| Gross:
$5.18M

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498

45,498
"
164.,Double Dragon,1994,"Action, Adventure, Comedy            ",96 min,3.8,"
Votes:
13,399
| Gross:
$2.34M

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399

13,399
"
165.,Thunderbirds,2004,"Action, Adventure, Comedy            ",95 min,4.2,"
Votes:
13,865
| Gross:
$6.77M

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865

13,865
"
166.,Stan Helsing,2009,"Comedy, Fantasy, Horror            ",108 min,3.5,"
Votes:
13,618
"
167.,Highlander II: The Quickening,1991,"Action, Adventure, Fantasy            ",91 min,4.1,"
Votes:
45,774
| Gross:
$15.56M

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774

45,774
"
168.,S. Darko,2009,"Drama, Mystery, Sci-Fi            ",103 min,3.6,"
Votes:
13,870
"
169.,Foodfight!,2012,"Animation, Action, Adventure            ",91 min,1.3,"
Votes:
10,843
"
170.,Manos: The Hands of Fate,1966,Horror            ,70 min,1.6,"
Votes:
36,217
"
171.,Police Academy 5: Assignment: Miami Beach,1988,"Comedy, Crime            ",90 min,4.5,"
Votes:
35,894
| Gross:
$4.24M

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894

35,894
"
172.,The Adventures of Rocky & Bullwinkle,2000,"Animation, Adventure, Comedy            ",92 min,4.2,"
Votes:
20,282
| Gross:
$26.00M

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282

20,282
"
173.,Boogeyman,2005,"Drama, Horror, Mystery            ",89 min,4.1,"
Votes:
31,124
| Gross:
$46.75M

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124

31,124
"
174.,Fair Game,1995,"Action, Romance, Thriller            ",91 min,4.3,"
Votes:
12,954
| Gross:
$11.53M

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954

12,954
"
175.,Urban Legends: Final Cut,2000,"Horror, Mystery            ",97 min,4.3,"
Votes:
17,452
| Gross:
$21.47M

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452

17,452
"
176.,Steel,1997,"Action, Adventure, Crime            ",97 min,2.9,"
Votes:
13,922
| Gross:
$1.71M

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922

13,922
"
177.,The Butterfly Effect 2,2006,"Drama, Sci-Fi, Thriller            ",92 min,4.5,"
Votes:
35,833
"
178.,Nutty Professor II: The Klumps,2000,"Comedy, Romance, Sci-Fi            ",106 min,4.4,"
Votes:
50,780
| Gross:
$123.31M

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780

50,780
"
179.,You Got Served,2004,"Drama, Music            ",95 min,3.8,"
Votes:
27,872
| Gross:
$40.07M

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872

27,872
"
180.,The Shaggy Dog,2006,"Comedy, Family, Fantasy            ",98 min,4.4,"
Votes:
19,165
| Gross:
$61.12M

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165

19,165
"
